# Y-M-D   T H:M:S     ObsNum ObsGoal       ObgPgm    SourceName                ProjectId                 RestFreq  VLSR   TINT     RA        DEC          AZ    EL
2022-05-18T01:52:26    99858  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0      36.4  193.200875  34.403758  299.9  44.8

2022-05-19T01:06:47    99977  Pointing     Map       1310+323                  2021-S1-MX-34                  RSR      0     102.7  197.619433  32.345495  300.5  57.3
2022-05-19T01:09:35    99978  Calibration  Cal       NGP-131281                2021-S1-MX-34                  RSR      0      22.9  193.200875  34.403758  302.1  52.7
2022-05-19T01:10:43    99979  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     465.8  193.200875  34.403758  302.0  52.5
2022-05-19T01:18:41    99980  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     448.2  193.200875  34.403758  301.4  50.9
2022-05-19T01:26:21    99981  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     472.4  193.200875  34.403758  300.9  49.3
2022-05-19T01:35:41    99982  Calibration  Cal       NGP-131281                2021-S1-MX-34                  RSR      0      25.6  193.200875  34.403758  300.4  47.4
2022-05-19T01:36:47    99983  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     442.4  193.200875  34.403758  300.3  47.2
2022-05-19T01:44:23    99984  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     448.9  193.200875  34.403758  300.0  45.6
2022-05-19T01:52:06    99985  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     437.2  193.200875  34.403758  299.7  44.0
2022-05-19T01:59:47    99986  Calibration  Cal       NGP-131281                2021-S1-MX-34                  RSR      0      26.3  193.200875  34.403758  299.5  42.4
2022-05-19T02:00:57    99987  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     447.5  193.200875  34.403758  299.5  42.2
2022-05-19T02:08:36    99988  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     429.6  193.200875  34.403758  299.3  40.6
2022-05-19T02:16:02    99989  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     438.1  193.200875  34.403758  299.2  39.1
2022-05-19T02:25:00    99990  Pointing     Map       1310+323                  2021-S1-MX-34                  RSR      0     103.2  197.619433  32.345495  296.6  40.9

2022-05-26T23:47:37   100386  Pointing     Map       1310+323                  2021-S1-MX-34                  RSR      0      97.0  197.619433  32.345495  308.8  66.7
2022-05-26T23:50:11   100387  Calibration  Cal       NGP-131281                2021-S1-MX-34                  RSR      0      21.7  193.200875  34.403758  308.5  62.0
2022-05-26T23:51:10   100388  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     367.0  193.200875  34.403758  308.3  61.8
2022-05-26T23:57:31   100389  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     364.1  193.200875  34.403758  307.1  60.6
2022-05-27T00:03:49   100390  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     364.7  193.200875  34.403758  306.1  59.4
2022-05-27T00:10:16   100391  Calibration  Cal       NGP-131281                2021-S1-MX-34                  RSR      0      24.0  193.200875  34.403758  305.1  58.2
2022-05-27T00:11:13   100392  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     360.7  193.200875  34.403758  305.0  58.0
2022-05-27T00:17:25   100393  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     365.4  193.200875  34.403758  304.2  56.8
2022-05-27T00:23:38   100394  Science      Bs        NGP-131281                2021-S1-MX-34                  RSR      0     360.9  193.200875  34.403758  303.5  55.6
2022-05-27T00:30:50   100395  Pointing     Map       1310+323                  2021-S1-MX-34                  RSR      0     100.7  197.619433  32.345495  301.0  58.2
